"from_id","to_id","confidence"
2021,10150,0.4566
2021,10151,0.4135
2021,10152,0.3369
2021,10153,0.3133
2042,10153,0.5497
2021,10154,0.2783
2054,10154,0.3096
2068,10154,0.2837
2022,10155,0.6436
2022,10156,0.5345
2022,10157,0.4662
2046,10157,0.4775
2022,10158,0.4493
2048,10158,0.529
2022,10159,0.408
2022,10160,0.3757
2023,10161,0.6969
2023,10162,0.4734
2033,10162,0.3522
2023,10163,0.4325
2023,10164,0.4059
2023,10165,0.3925
2023,10166,0.3282
2037,10166,0.5105
2023,10167,0.3129
2038,10167,0.5208
2047,10167,0.5548
2057,10167,0.655
2058,10167,0.7338
2059,10167,0.6697
2023,10168,0.309
2023,10169,0.2987
2038,10169,0.3642
2023,10170,0.28
2024,10171,0.6398
2026,10171,0.5913
2024,10172,0.6046
2024,10173,0.4323
2024,10174,0.4199
2024,10176,0.2756
2025,10179,0.5843
2025,10180,0.5721
2025,10181,0.4705
2025,10182,0.4016
2025,10183,0.3186
2035,10183,0.525
2061,10183,0.4288
2063,10183,0.3778
2025,10184,0.3095
2025,10186,0.2283
2026,10190,0.5051
2026,10191,0.4058
2026,10192,0.3467
2026,10193,0.3221
2026,10195,0.2825
2027,10197,0.5689
2027,10198,0.5217
2027,10199,0.4705
2027,10200,0.1944
2027,10201,0.1926
2041,10201,0.3274
2047,10201,0.251
2059,10201,0.2956
2101,10201,0.3413
2028,10204,0.5882
2028,10205,0.4886
2028,10206,0.417
2028,10207,0.3664
2028,10208,0.3604
2048,10208,0.3607
2066,10208,0.3855
2070,10208,0.3042
2028,10209,0.3566
2029,10211,0.4618
2029,10212,0.3205
2029,10213,0.3166
2066,10213,0.3257
2029,10215,0.2209
2068,10215,0.1348
2030,10216,0.4368
2030,10217,0.4002
2030,10218,0.3594
2030,10219,0.3132
2031,10221,0.4798
2031,10222,0.4568
2031,10223,0.4268
2031,10224,0.3042
2031,10225,0.1165
2032,10227,0.6317
2032,10228,0.5134
2034,10228,0.4759
2036,10228,0.4724
2037,10228,0.4771
