"from_id","to_id","strength"
50478,2045,1
50479,2045,1
50480,2045,1
50481,2045,1
50482,2045,1
50483,2046,1
50484,2046,1
50485,2046,1
50486,2046,1
50487,2046,1
50488,2046,1
50489,2046,1
50490,2046,1
50491,2046,1
50492,2046,1
50493,2046,1
50494,2047,1
50495,2047,1
50496,2047,1
50497,2047,1
50498,2047,1
50499,2047,1
50500,2047,1
50501,2047,1
50502,2047,1
50503,2047,1
50504,2047,1
50505,2048,1
50506,2048,1
50506,2051,1
50507,2048,1
50508,2048,1
50509,2048,1
50510,2048,1
50511,2048,1
50512,2048,1
50513,2048,1
50514,2048,1
50515,2049,1
50516,2049,1
50517,2049,1
50518,2049,1
50519,2049,1
50520,2049,1
50521,2049,1
50522,2049,1
50523,2049,1
50524,2049,1
50525,2050,1
50525,2051,1
50526,2050,1
50527,2050,1
50528,2050,1
50529,2050,1
50530,2050,1
50531,2050,1
50532,2050,1
50533,2050,1
50534,2050,1
50535,2051,1
50536,2051,1
50537,2051,1
50538,2051,1
50539,2051,1
50540,2051,1
50541,2051,1
50542,2051,1
50543,2052,1
50544,2052,1
50545,2052,1
50546,2052,1
50547,2052,1
50548,2052,1
50549,2052,1
50550,2052,1
50551,2052,1
50552,2052,1
50553,2052,1
50554,2052,1
50555,2053,1
50556,2053,1
50557,2053,1
50558,2053,1
50559,2053,1
50560,2053,1
50561,2053,1
50562,2053,1
50563,2053,1
50564,2053,1
50565,2054,1
50566,2054,1
50567,2054,1
50568,2054,1
50569,2054,1
50570,2054,1
50571,2054,1
50572,2054,1
50573,2054,1
50574,2054,1
50575,2055,1
50576,2055,1
50577,2055,1
50578,2055,1
50579,2055,1
50580,2055,1
50581,2055,1
50582,2055,1
50583,2055,1
50584,2055,1
50585,2055,1
50586,2056,1
50587,2056,1
50588,2056,1
50589,2056,1
50590,2056,1
50591,2056,1
50592,2056,1
50593,2056,1
50594,2056,1
50595,2057,1
50596,2057,1
50597,2057,1
50598,2057,1
50599,2057,1
50600,2057,1
50601,2057,1
50602,2057,1
50603,2057,1
50604,2057,1
50605,2058,1
50606,2058,1
50607,2058,1
50608,2058,1
50609,2058,1
50610,2058,1
50611,2058,1
50612,2058,1
50613,2058,1
50614,2058,1
50615,2059,1
50616,2059,1
50617,2059,1
50618,2059,1
50619,2059,1
50620,2059,1
50621,2059,1
50622,2059,1
50623,2059,1
50624,2059,1
50625,2059,1
50626,2059,1
50627,2060,1
50628,2060,1
50629,2060,1
50630,2060,1
50631,2060,1
50632,2060,1
50633,2060,1
50634,2060,1
50635,2060,1
50636,2060,1
50637,2061,1
50638,2061,1
50639,2061,1
50640,2061,1
50641,2061,1
50642,2061,1
50643,2061,1
50644,2061,1
50645,2061,1
50646,2061,1
50647,2062,1
50648,2062,1
50649,2062,1
50650,2062,1
50651,2062,1
50652,2062,1
50653,2062,1
50654,2062,1
50655,2062,1
50656,2062,1
50657,2063,1
50658,2063,1
50659,2063,1
50660,2063,1
50661,2063,1
50662,2063,1
50663,2063,1
50664,2063,1
50665,2063,1
50666,2063,1
50667,2063,1
50668,2063,1
50669,2064,1
50670,2064,1
50671,2064,1
50672,2064,1
50673,2064,1
50674,2064,1
50675,2064,1
50676,2064,1
50677,2065,1
50678,2065,1
50679,2065,1
50680,2065,1
50681,2065,1
50682,2065,1
50683,2065,1
50684,2065,1
50685,2065,1
50686,2065,1
50687,2066,1
50688,2066,1
50689,2066,1
50690,2066,1
50691,2066,1
50692,2066,1
50693,2066,1
50694,2066,1
50695,2066,1
50696,2066,1
50697,2067,1
50698,2067,1
50698,2068,1
50698,2094,1
50698,2096,1
50699,2067,1
50700,2067,1
